Time (h),S,DO2,O2,P,V,Wt,pH,T,Q,CO2outgas,Fg,RPM,Fpaa,Fs,Fa,Fb,Fc,Foil,Fh,Fw,pressure,Fremoved,Control_ref,PAT_ref,Batch_ref,OUR,CER,NH3_offline,Viscosity_offline,PAA_offline,P_offline,X_offline,Fault flag,Batch ID
0.2,1.0039590665034768,14.71500408406626,0.19858561194861993,8.114538086906066e-28,57975.60167490407,62659.38645926306,6.462760584066233,297.767794337846,124.50303435144235,0.0804771297691919,30.0,100.0,5.0,8.0,0.0,18.367771141971545,0.0001,22.0,139.81526996911953,0.0,0.6,0.0,0.0,1.0,1.0,0.3427037412839646,0.029614730358007678,,,,,,0.0,1
0.4,1.0615292371706775,14.692486242360529,0.2050885116151185,8.109832027659528e-28,57979.52503099168,62667.7887798101,6.492150163560451,297.89925118563855,159.56122155957848,0.09036683320242182,30.0,100.0,5.0,8.0,0.0,32.75860201791545,0.0001,22.0,46.441232430800284,0.0,0.6,0.0,0.0,1.0,1.0,-0.004498691972845296,0.03325831468705069,,,,,,0.0,1
0.6000000000000001,1.1183963046221026,14.685232262644208,0.20662182671513032,1.8776246592043697e-22,57983.9345783803,62676.68215339052,6.524840035885239,297.86726430225787,151.0299579984841,0.09354746459514093,30.0,100.0,5.0,8.0,0.0,35.26150519252608,0.0001,22.0,0.0001,0.0,0.6,0.0,0.0,1.0,1.0,-0.08730276743736903,0.034430328517276974,,,,,,0.0,1
0.8,1.1741907093516273,14.6753132484676,0.20695365205406238,1.8765883691107867e-22,57986.21169845032,62683.44419757736,6.544669065028218,298.0802440957579,207.8379517590998,0.09538667533187507,30.0,100.0,5.0,8.0,0.0,24.729594694631885,0.0001,22.0,69.00751651076885,0.0,0.6,0.0,0.0,1.0,1.0,-0.10539406171863253,0.035108093691508524,,,,,,0.0,1
1.0,1.2290026789099178,14.654781163288547,0.20692288170956924,1.8756690814382722e-22,57984.78329247155,62686.50565650612,6.5360919605375365,297.9944243635625,184.94689083852998,0.09699851796468603,30.0,100.0,5.0,8.0,0.0,6.291728214457642,68.74044171753877,22.0,6.900751651076885,0.0,0.6,0.0,0.0,1.0,1.0,-0.10391483814059245,0.03570209840698124,,,,,,0.0,1
1.2,1.28274929169432,14.633931385535815,0.20680233997009068,1.8747933836423929e-22,57982.11866528028,62688.3346041363,6.51710619943327,297.9255652577911,166.58025377613347,0.09862079956053711,30.0,100.0,5.0,8.0,0.0,0.0,40.544439249785825,22.0,0.6900751651076886,0.0,0.6,0.0,0.0,1.0,1.0,-0.09759693169589723,0.0362999752988116,,,,,,0.0,1
1.4000000000000001,1.3349523921738327,14.608210255773729,0.2066217838270317,1.8739127760130464e-22,57979.442107375005,62690.1461509815,6.498877651707344,298.07965490551305,207.67882626728777,0.10030609864820093,30.0,100.0,5.0,8.0,0.0,0.0,12.163331774935747,22.0,54.63418637411647,0.0,0.6,0.0,0.0,1.0,1.0,-0.08805363278931642,0.03692110343213167,,,,,,0.0,1
1.6,1.385154668539287,14.597962959290767,0.2065562782765286,1.8730274780818687e-22,57976.754621472704,62691.937432161285,6.481273600459709,298.0049423004302,187.7522657166179,0.1020704659305765,30.0,100.0,5.0,8.0,0.0,0.0,63.049400699458936,22.0,5.463418637411647,0.0,0.6,0.0,0.0,1.0,1.0,-0.08472074597011073,0.037571401856932585,,,,,,0.0,1
1.8,1.4337176136022063,14.582317528500504,0.2064715619876773,1.2272355995758901e-22,57975.479859407686,62695.13455624363,6.475030708530692,297.9390594833062,170.18107244281506,0.10391225878121349,30.0,100.0,5.0,8.0,0.0,6.963001754071664,39.10493854469032,22.0,0.5463418637411647,0.0,0.6,0.0,0.0,1.0,1.0,-0.08036203537780594,0.038250269118001966,,,,,,0.0,1
2.0,1.4807806339799818,14.565327776474945,0.20637155831123416,1.226586253734395e-22,57976.079339574084,62700.198815272684,6.481665948608461,298.09067486114634,210.61775818381489,0.10582588553777117,30.0,100.0,5.0,8.0,0.0,16.395322622117106,11.731481563407096,22.0,52.379735749917494,0.0,0.6,0.0,0.0,1.0,1.0,-0.07518873098703385,0.03895564813519148,,,,,,0.0,1
